id	filename	md5	size	state
019f09cc-0a29-434b-a43a-1f458548cc82	019f09cc-0a29-434b-a43a-1f458548cc82/6a0185c8-be4c-4273-ac77-4647e46a0e08.rna_seq.augmented_star_gene_counts.tsv	5d1d01d4bca33a8edd96322a6b3785c1	4239451	validated
01ef4ff8-b71e-40bf-bce6-4f854ce84d40	01ef4ff8-b71e-40bf-bce6-4f854ce84d40/5226e424-90ad-46b7-9006-1d7bd713254d.rna_seq.augmented_star_gene_counts.tsv	f02c11ea4197ba961ef3e03cd334eac4	4231655	validated
04414ae9-75ff-40ce-bca3-65986ce49c11	04414ae9-75ff-40ce-bca3-65986ce49c11/9c3d1cc9-3618-40f2-8d7a-bfee636a5182.rna_seq.augmented_star_gene_counts.tsv	cb26af4df0f86db7f6dfdbdf121e4fc2	4244601	validated
1373d436-3021-4d0d-8316-687f5249f295	1373d436-3021-4d0d-8316-687f5249f295/e97e8e40-2fb4-43a2-a5db-ddabc84a7937.rna_seq.augmented_star_gene_counts.tsv	621d0af0d08c6d678866af4e5b6db4c4	4243180	validated
197bedd1-cca1-4ee0-aaf5-60b6d303ca12	197bedd1-cca1-4ee0-aaf5-60b6d303ca12/ecd99efd-10c0-44f4-a8ca-6356429ba4b5.rna_seq.augmented_star_gene_counts.tsv	b6a01f48df3386c087a5b0436f9ea113	4235883	validated
27a0dcf2-bf9e-4dd3-b0d1-2dcfc67e69ba	27a0dcf2-bf9e-4dd3-b0d1-2dcfc67e69ba/1782c608-e7e6-4413-8d87-660979f32485.rna_seq.augmented_star_gene_counts.tsv	38e8cf64bc2f79ef28d8a898fe271e8b	4247870	validated
288d5a3e-ffda-4a73-8504-ed1df622bd74	288d5a3e-ffda-4a73-8504-ed1df622bd74/4541c869-1ba9-4599-ba72-131d73cad12f.rna_seq.augmented_star_gene_counts.tsv	d860d8ddc0af56d9f07ea85ad4fe6375	4251503	validated
2e7811cc-8e4d-4aa3-b8f8-9eb3e7215d94	2e7811cc-8e4d-4aa3-b8f8-9eb3e7215d94/e2bdfe73-54cb-448c-8212-8918bba38e31.rna_seq.augmented_star_gene_counts.tsv	8c940f8beeb751f438cba37a35b265bc	4246148	validated
2f6ca933-3daf-41dc-9403-880fa45ef36c	2f6ca933-3daf-41dc-9403-880fa45ef36c/60028d9d-c8e5-4c4e-a75c-cc3df6f2eea1.rna_seq.augmented_star_gene_counts.tsv	1aebed103d330727337c1706fea80ca5	4245140	validated
33732cbc-635c-4cd5-bfef-09dfe1cea4e2	33732cbc-635c-4cd5-bfef-09dfe1cea4e2/a276b9ca-af6b-4665-b9c0-aea57d42238f.rna_seq.augmented_star_gene_counts.tsv	91ce970ec2ef596b7e35a853bc913b0b	4245044	validated
